id,distanceWeight,site,field,0_classification,1_classification,2_classification,3_classification,4_classification,5_classification,6_classification,7_classification,.geo
3_3,sig3,Lovelock,03,97455114.16116633,142779483.46714753,580407.2969784798,15287665.542794688,8650247.09606141,4754308.474494159,25684691.428664315,43129724.27242938,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_4,sig3,Lovelock,01,83197683.69868992,137102649.16895807,1189955.7134360075,12852331.152005386,179249.2115172589,18146598.687285975,45038194.585024424,40611428.03532541,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_5,sig3,Lovelock,02,61741319.553483434,115769328.01578297,798343.5914280608,8275896.451158824,22029861.391252626,15153181.056349965,72106791.03051117,42443479.37089234,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_6,sig3,Fallon,01,150818901.02583975,79339655.61012748,7086603.618709169,10418329.373428058,6666271.520735397,5606940.074863318,19764139.556512702,58708807.4888856,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_7,sig3,Fallon,02,89507290.47777188,168990829.74797896,622469.8871552565,1650036.1162889602,1556600.5835713977,1568663.2391475018,7841761.749063913,66671013.44847656,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8,sig3,Fallon,03,19882225.054795474,127769603.96437562,18974977.736172725,34596042.27405835,11960414.312449465,10155557.577294892,62634584.229465336,52437783.68101045,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9,sig3,Yerington,01,6232997.444075057,290941743.38355523,348738.78820040834,1326591.418869133,709520.0482898615,1437371.7158179644,12419698.053750155,25130538.035676677,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_10,sig3,Yerington,02,131435566.458959,68676410.4584441,20221103.80953647,17617270.66083544,1299211.9631305323,10911118.088779442,67796966.2859987,20587652.191329036,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_11,sig3,Yerington,03,91132578.79009248,68588076.5282844,5696512.874967689,9675145.82884656,11305353.472528107,5993582.749994131,121078026.76148124,25078221.71105968,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,sig4,Minden,01,10270796.470343493,635666137.2013816,64495729.4895169,12323919.586196974,16979350.782118894,2024569.0934648877,39618499.45953715,31001194.38433917,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1,sig4,Minden,02,17745955.126624297,214838214.03825557,4281378.552281322,22098909.9856781,28617048.27521855,2810253.3263363605,518682811.4021136,3267089.695141243,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_2,sig4,Minden,03,461889944.0450837,266034839.11788127,791779.3553536783,23643520.26327247,817552.1226664358,186733.12259628173,33285514.138678312,25699669.758708425,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_3,sig4,Lovelock,03,232438062.72179672,339103061.1353107,4298209.821999229,31083845.99861279,15693750.347437104,7446476.720340109,60530073.5494901,120841548.74011809,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4,sig4,Lovelock,01,244582970.5838465,292104550.05057335,5233479.581374552,28575342.96641278,3234647.0766232666,33605110.422999926,119881206.00072968,84209204.40600751,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5,sig4,Lovelock,02,112440036.64018077,263526013.61821127,25570742.658641733,22583687.29390409,76798693.47956817,28829225.74720526,193304629.0896549,88373747.1269637,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6,sig4,Fallon,01,306335449.4864085,168580498.84403878,15754786.933786668,24427535.821773294,35775557.04336197,12024022.630604316,104708741.79103027,144039497.45276928,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7,sig4,Fallon,02,208056516.90633985,328246194.3033943,6040459.001138988,10552294.023850264,14060494.63027286,3241587.1774692875,67212662.97432886,174233523.1464036,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8,sig4,Fallon,03,47524082.45279328,267222385.59434807,60076523.18632527,67785502.8339854,64846813.6674495,19380285.29155195,165468671.1806141,119345519.74259804,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9,sig4,Yerington,01,46734540.21221254,473467603.7219405,9032535.83926208,19240337.499189224,24800466.57674583,13975476.207756069,147538115.3495146,77186908.90719011,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_10,sig4,Yerington,02,278704377.16223514,215988532.8794293,53816125.212155975,34982890.499033205,10986596.917318478,20772683.62613544,153176703.38780954,43543519.6513852,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_11,sig4,Yerington,03,172029220.21113765,160330367.03105268,37237846.07294361,22378245.046073142,30233882.02254595,20310447.04681643,313122263.35326636,56334431.36872022,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,sig5,Minden,01,50284964.70297559,1282986264.822946,115767206.60541092,46732889.72641404,35925187.372283235,4032581.7701492,114072075.84584184,79924482.54484703,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1,sig5,Minden,02,47766842.1649058,452873631.9318529,14669555.125974234,54419252.335981585,64493082.250060394,6478619.091271663,1081769465.5921588,7172982.349388521,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_2,sig5,Minden,03,786968729.4876423,713296432.6179478,5739516.294635074,62206963.93494103,2952155.219884473,2527333.3829466184,95103910.42079385,60865357.09145945,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_3,sig5,Lovelock,03,573292458.0724401,705073382.6142621,12667672.052218698,51686874.63218435,23432156.6926264,11336726.200300151,90098124.50503176,260136572.98872483,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_4,sig5,Lovelock,01,621828144.8502448,501396994.97602314,41651674.28978024,71589877.27776648,26589451.08232188,67939009.73784642,246078832.3918513,150631842.0924691,"{""type"":""MultiPoint"",""coordinates"":[]}"
