system:index,0_classification,1_classification,2_classification,3_classification,4_classification,5_classification,6_classification,7_classification
5_3,2.581465699572643E8,3.408483904175481E8,2300824.5241782116,3.545257784412532E7,2.1947317210707445E7,9947400.130491052,6.588348611875862E7,7.725400333302435E7
5_4,2.8411210484269553E8,2.3201175302550274E8,3015737.359392338,4.494041182163283E7,960841.8995150937,3.499659771690175E7,1.3097946452473009E8,8.076468304853915E7
5_5,2.0763911294915318E8,1.6471912094136488E8,9442331.387312837,7.32797688159903E7,7.424183666041876E7,2.5947283733401492E7,1.862414747211153E8,7.02693253992196E7
5_6,3.447282420498767E8,1.456184111304204E8,1.1085168778739516E7,5.88030032481897E7,2.2884358249759175E7,1.3623822389083646E7,9.172216685538267E7,1.2337764628066947E8
5_7,2.91733244442266E8,2.669525436652974E8,3896112.1806944367,2.4683894897781778E7,1.0572264327482188E7,3625499.9614009825,6.0627927900647245E7,1.4975195990738642E8
5_8,1.0383502246435559E8,2.2129906408723602E8,5.109121202891225E7,1.4556226877484858E8,3.3739378044440374E7,1.8665508882790554E7,1.2762126121117634E8,1.1002720570675687E8
5_9,4.259525306699503E7,5.1528233056830084E8,4272243.941163653,6.585208643676831E7,8330404.753857958,1.6557641582553815E7,1.2308038091581446E8,3.590709708987156E7
5_10,2.3238967695437598E8,2.6082732025212663E8,2.1704185586249057E7,8.444293648049748E7,2197844.4355229847,3.8074129791828945E7,1.4270611246033138E8,2.953652367746772E7
5_11,1.8040756765403506E8,1.5830122423919111E8,2.8032889849883933E7,8.306822605879413E7,8972375.863426382,1.422034031400825E7,2.8343964421631783E8,5.543618253050553E7
6_0,1.3477661522173637E8,1.1790876887326014E9,9.564618327034774E7,1.1613715581599575E8,1.4333622466151223E7,3660764.1180316163,1.2490539255913085E8,6.01334104265733E7
6_1,3.717288798390783E7,4.6720992219398236E8,1.5580379800006978E7,1.2725365465818518E8,1.4068034176378012E8,2204566.474411865,9.362169889548565E8,2362077.455751212
6_2,9.76877277946667E8,5.36590306999396E8,4251423.94278565,8.412613115645733E7,605671.8429159576,2837425.904017775,6.977509838220166E7,5.361420334109392E7
6_3,6.373212375183371E8,6.970035945974879E8,8402213.801802661,6.783070172541225E7,2.5879262788208906E7,1.73622727845787E7,8.768495253842826E7,1.8697465609597966E8
6_4,7.059491289453832E8,3.8638192334726095E8,3.2594179269805323E7,1.1841110325344284E8,1.9326726329695478E7,7.77230788734584E7,2.5279702954408872E8,1.3527836417809668E8
6_5,3.7846733572151065E8,3.1657370277504814E8,7.583505417276753E7,2.5146647261249828E8,1.5240195358074552E8,5.388103211385162E7,3.6822614903747404E8,1.3160610711053972E8
6_6,5.636478209858104E8,2.3526206461752772E8,2.82178593142344E7,1.715453820319603E8,7.997869595566264E7,4.7483843136578515E7,3.4772493426162064E8,2.547251130864213E8
6_7,6.138368644737502E8,4.5641955015613663E8,1.3187570829073295E7,7.840233636439176E7,2.2730402898549505E7,2.3809290389269065E7,2.258620143591879E8,2.943389082169128E8
6_8,2.2142727543769908E8,4.114367712803036E8,1.3321517769853859E8,3.2261932481688064E8,9.091384830116716E7,3.802095478226434E7,2.7397685115376633E8,2.369720714005068E8
6_9,1.5756026541183388E8,7.063328446678953E8,1.2570769803746842E7,1.6507188031652713E8,5.040223464177065E7,9.825911735213096E7,4.312228356559695E8,1.0723633302030668E8
6_10,4.712295459056152E8,5.318929697563246E8,5.264457821531817E7,1.4703969238118443E8,8603413.448679293,1.0538005553825335E8,3.281943320081091E8,8.367427181683275E7
6_11,3.157565722630703E8,3.384985692928131E8,7.209695379451424E7,2.072906604461879E8,1.6311237754987272E7,3.686626324698582E7,6.163283617244335E8,1.2550940979389541E8
